Source,Target,Weight,Type
mark-twain_huck-finn,mark-twain_life-on-mississippi,1,undirected
mark-twain_huck-finn,mark-twain_sketches-new-and-old,2,undirected
mark-twain_huck-finn,mark-twain_tom-sawyer,3,undirected
mark-twain_innocents-abroad,mark-twain_life-on-mississippi,3,undirected
mark-twain_innocents-abroad,mark-twain_roughing-it,4,undirected
mark-twain_innocents-abroad,warner_baddeck-sketches,1,undirected
mark-twain_innocents-abroad,warner_in-the-levant,1,undirected
mark-twain_innocents-abroad,warner_john-smith,1,undirected
mark-twain_innocents-abroad,warner_my-winter-on-the-nile,2,undirected
mark-twain_life-on-mississippi,mark-twain_huck-finn,1,undirected
mark-twain_life-on-mississippi,mark-twain_innocents-abroad,3,undirected
mark-twain_life-on-mississippi,mark-twain_roughing-it,6,undirected
mark-twain_life-on-mississippi,mark-twain_sketches-new-and-old,5,undirected
mark-twain_life-on-mississippi,mark-twain_tom-sawyer,1,undirected
mark-twain_life-on-mississippi,mark-twain-and-cd-warner_gilded-age,1,undirected
mark-twain_life-on-mississippi,warner_in-the-wilderness,1,undirected
mark-twain_roughing-it,mark-twain_innocents-abroad,4,undirected
mark-twain_roughing-it,mark-twain_life-on-mississippi,6,undirected
mark-twain_roughing-it,mark-twain_sketches-new-and-old,3,undirected
mark-twain_roughing-it,warner_being-a-boy,3,undirected
mark-twain_roughing-it,warner_in-the-wilderness,2,undirected
mark-twain_roughing-it,warner_john-smith,2,undirected
mark-twain_sketches-new-and-old,mark-twain_huck-finn,2,undirected
mark-twain_sketches-new-and-old,mark-twain_life-on-mississippi,5,undirected
mark-twain_sketches-new-and-old,mark-twain_roughing-it,3,undirected
mark-twain_sketches-new-and-old,mark-twain_tom-sawyer,2,undirected
mark-twain_sketches-new-and-old,mark-twain-and-cd-warner_gilded-age,4,undirected
mark-twain_sketches-new-and-old,warner_golden-house,2,undirected
mark-twain_sketches-new-and-old,warner_my-summer-in-a-garden,1,undirected
mark-twain_tom-sawyer,mark-twain_huck-finn,3,undirected
mark-twain_tom-sawyer,mark-twain_life-on-mississippi,1,undirected
mark-twain_tom-sawyer,mark-twain_sketches-new-and-old,2,undirected
mark-twain_tom-sawyer,mark-twain-and-cd-warner_gilded-age,3,undirected
mark-twain-and-cd-warner_gilded-age,mark-twain_life-on-mississippi,1,undirected
mark-twain-and-cd-warner_gilded-age,mark-twain_sketches-new-and-old,4,undirected
mark-twain-and-cd-warner_gilded-age,mark-twain_tom-sawyer,3,undirected
mark-twain-and-cd-warner_gilded-age,warner_backlog-studies,1,undirected
mark-twain-and-cd-warner_gilded-age,warner_being-a-boy,2,undirected
mark-twain-and-cd-warner_gilded-age,warner_golden-house,6,undirected
mark-twain-and-cd-warner_gilded-age,warner_my-summer-in-a-garden,2,undirected
warner_backlog-studies,mark-twain-and-cd-warner_gilded-age,1,undirected
warner_backlog-studies,warner_in-the-wilderness,2,undirected
warner_backlog-studies,warner_my-summer-in-a-garden,6,undirected
warner_baddeck-sketches,mark-twain_innocents-abroad,1,undirected
warner_baddeck-sketches,warner_in-the-levant,2,undirected
warner_baddeck-sketches,warner_in-the-wilderness,6,undirected
warner_baddeck-sketches,warner_my-winter-on-the-nile,4,undirected
warner_being-a-boy,mark-twain_roughing-it,3,undirected
warner_being-a-boy,mark-twain-and-cd-warner_gilded-age,2,undirected
warner_being-a-boy,warner_golden-house,2,undirected
warner_golden-house,mark-twain_sketches-new-and-old,2,undirected
warner_golden-house,mark-twain-and-cd-warner_gilded-age,6,undirected
warner_golden-house,warner_being-a-boy,2,undirected
warner_in-the-levant,mark-twain_innocents-abroad,1,undirected
warner_in-the-levant,warner_baddeck-sketches,2,undirected
warner_in-the-levant,warner_john-smith,3,undirected
warner_in-the-levant,warner_my-winter-on-the-nile,6,undirected
warner_in-the-wilderness,mark-twain_life-on-mississippi,1,undirected
warner_in-the-wilderness,mark-twain_roughing-it,2,undirected
warner_in-the-wilderness,warner_backlog-studies,2,undirected
warner_in-the-wilderness,warner_baddeck-sketches,6,undirected
warner_john-smith,mark-twain_innocents-abroad,1,undirected
warner_john-smith,mark-twain_roughing-it,2,undirected
warner_john-smith,warner_in-the-levant,3,undirected
warner_my-summer-in-a-garden,mark-twain_sketches-new-and-old,1,undirected
warner_my-summer-in-a-garden,mark-twain-and-cd-warner_gilded-age,2,undirected
warner_my-summer-in-a-garden,warner_backlog-studies,6,undirected
warner_my-winter-on-the-nile,mark-twain_innocents-abroad,2,undirected
warner_my-winter-on-the-nile,warner_baddeck-sketches,4,undirected
warner_my-winter-on-the-nile,warner_in-the-levant,6,undirected
